destination country,destination city,description,time,year,year_aggregate
Belgium,Brussels,Attended a NATO Foreign Ministers’ Meeting.,"June 24–26, 2014",2014,2015
France,Paris,"Met with Foreign Minister Laurent Fabius and with the Foreign Ministers of Israel, Saudi Arabia, the United Arab Emirates, and Jordan.","June 26–27, 2014",2014,2015
Saudi Arabia,Jeddah,Met with King Abdullah bin Abdulaziz al-Saud and Syrian Opposition Coalition President Ahmad Jarba.,"June 27, 2014",2014,2015
Panama,Panama City,"Attended the inauguration of President Juan Carlos Varela Rodriguez. Met with the Presidents of El Salvador, Guatemala, and Honduras.","July 1, 2014",2014,2015
"China, People’s Republic of",Beijing,Attended the Sixth Round of the U.S.-China Strategic and Economic Dialogue.,"July 8–10, 2014",2014,2015
Afghanistan,Kabul,"Met with President Hamid Karzai, Afghan political leaders, and the head of the UN Assistance Mission.","July 11–12, 2014",2014,2015
Austria,Vienna,Met with Iranian Foreign Minister Javad Zarif and various P5+1 Foreign Ministers.,"July 13–15, 2014",2014,2015
Egypt,Cairo,"Discussed the Gaza crisis with UN Secretary-General Ban Ki-Moon, Arab League Secretary-General Nabil al-Araby, President Abdel Fattah al-Sisi, and Foreign Minister Sameh Shoukry.","July 21–23, 2014",2014,2015
Israel,"Jerusalem, Tel Aviv",Met with UN Secretary-General Ban Ki-Moon and Prime Minister Benjamin Netanyahu.,"July 23, 2014",2014,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"July 23, 2014",2014,2015
Egypt,Cairo,"Discussed the Gaza crisis with UN Secretary-General Ban Ki-Moon, Arab League Secretary-General Nabil al-Araby, President Abdel Fattah al-Sisi, and Foreign Minister Sameh Shoukry.","July 24–25, 2014",2014,2015
France,Paris,"Met with the Foreign Ministers of France, the United Kingdom, Germany, Italy, Qatar, and Turkey.","July 25–26, 2014",2014,2015
India,New Delhi,Attended the 5th U.S.-India Strategic Dialogue.,"July 29–August 1, 2014",2014,2015
Afghanistan,Kabul,Met with President Hamid Karzai and presidential candidates Abdullah Abdullah and Ashraf Ghani.,"August 7–8, 2014",2014,2015
Burma,"Nay Pyi Taw, Rangoon","Attended the U.S.-ASEAN and Lower Mekong Initiatives, the ASEAN Regional Forum, and the East Asia Summit ministerial meetings.","August 9–10, 2014",2014,2015
Australia,Sydney,Attended the Australia-U.S. Ministerial Consultations.,"August 11–13, 2014",2014,2015
Solomon Islands,Honiara,Met with Governor General Frank Kabui and Prime Minister Gordon Lilo. Attended wreath-laying ceremonies at the Guadalcanal American Memorial and the Solomons Scouts and Coastwatchers Memorial.,"August 13, 2014",2014,2015
United Kingdom (Wales),"Newtown, Cardiff",Accompanied President Obama to the NATO Summit Meeting.,"September 4–5, 2014",2014,2015
Iraq,Baghdad,"Met with President Fuad Masum, Prime Minister Haidar al-Abadi, Foreign Minister Ibrahim al-Ja’fari, and Council of Representatives Speaker Salim al-Jabouri.","September 10, 2014",2014,2015
Jordan,Amman,Met with King Abdullah II.,"September 10–11, 2014",2014,2015
Saudi Arabia,Jeddah,"Met with King Abdullah, attended a meeting of the Gulf Cooperation Council and Regional Partners, and met with representatives of the Organization of the Islamic Conference.","September 11–12, 2014",2014,2015
Turkey,Ankara,"Met with President Recep Tayyip Erdogan, Prime Minister Ahmed Davutoglu, and Foreign Minister Mevlut Cavusoglu.","September 12–13, 2014",2014,2015
