destination country,destination city,description,time,year,year_aggregate
Uruguay,Montevideo,Accompanied President Eisenhower on a good will tour.,"March 2–3, 1960",1960,1960
United Kingdom,London,Overnight stop en route to Tehran.,"April 26–27, 1960",1960,1960
Iran,Tehran,Attended CENTO Ministerial Meeting.,"April 28–30, 1960",1960,1960
Turkey,Istanbul,Attended NATO Ministerial Meeting.,"April 30–May 4, 1960",1960,1960
Greece,Athens,Met with King Paul I and Prime Minister Karamanlis.,"May 5, 1960",1960,1960
France,Paris,"Accompanied President Eisenhower to a meeting of the Chiefs of State and Heads of Government of France, the Soviet Union, the United Kingdom, and the United States. Also attended a meeting of NATO's Permanent Council.","May 13–21, 1960",1960,1960
Costa Rica,San Jose,Attended the 6th and 7th Meetings of Consultation of the American Foreign Ministers.,"August 16–29, 1960",1960,1960
Mexico,"Mexico, D.F.",Attended ceremonies for the 150th anniversary of Mexican independence.,"September 15–16, 1960",1960,1960
Belgium,Brussels,Personal representative of the President at the wedding of King Baudouin.,"December 13–14, 1960",1960,1960
Thailand,Bangkok,Attended the Seventh Annual Meeting of the SEATO Council of Ministers.,"March 26–30, 1961",1961,1965
India,New Delhi,Met with Prime Minister Nehru.,"March 30, 1961",1961,1965
Turkey,Ankara,Attended CENTO Ministerial Council Meeting.,"April 26–29, 1961",1961,1965
Norway,Oslo,Attended NATO Ministerial Meeting.,"May 6–10, 1961",1961,1965
Switzerland,Geneva,Attended 14-nation Conference on Laos.,"May 10–21, 1961",1961,1965
France,Paris,Accompanied President Kennedy on State visit.,"May 31–June 3, 1961",1961,1965
Austria,Vienna,Accompanied President Kennedy to talks with Soviet Premier Khrushchev.,"June 3–4, 1961",1961,1965
United Kingdom,London,Accompanied President Kennedy during a private visit.,"June 4–6, 1961",1961,1965
France,Paris,Attended a Foreign Ministers meeting on Berlin and met with the NATO Permanent Council.,"August 4–9, 1961",1961,1965
Italy,"Rome, Milan, Cadenabbia","Met with Italian Prime Minister Fanfani and Foreign Minister Segni, and, on August 10, with German Chancellor Adenauer.","August 9–10, 1961",1961,1965
Japan,Hakone,Attended a meeting of U.S.-Japan Joint Committee on Trade and Economic Affairs.,"November 1–4, 1961",1961,1965
"Korea, Republic of",Seoul,Met with President Park and senior Korean officials.,"November 4–5, 1961",1961,1965
France,Paris,Attended NATO Ministerial Meeting.,"December 10–16, 1961",1961,1965
Spain,Madrid,Met with Generalissimo Franco and Foreign Minister Castiella.,"December 16, 1961",1961,1965
United Kingdom,Bermuda,Accompanied President Kennedy to a meeting with Prime Minister Macmillan.,"December 20–22, 1961",1961,1965
Uruguay,Punta del Este,Attended the 8th Meeting of Consultation of the American Foreign Ministers.,"January 20–February 1, 1962",1962,1965
Switzerland,Geneva,Attended 18-nation Disarmament Conference.,"March 10–27, 1962",1962,1965
United Kingdom,London,Attended CENTO Ministerial Council Meeting.,"April 29–May 2, 1962",1962,1965
Greece,Athens,Attended NATO Ministerial Meeting.,"May 2–6, 1962",1962,1965
Australia,Canberra,Attended ANZUS Council Meeting.,"May 8–9, 1962",1962,1965
New Zealand,Wellington,Met with senior New Zealand officials.,"May 10–11, 1962",1962,1965
France,Paris,Attended NATO Ministerial Meeting.,"June 19–21, 1962",1962,1965
Germany,West Berlin,Met with Mayor Brandt and signed city's Golden Book.,"June 21, 1962",1962,1965
"Germany, Federal Republic of",Bonn,Discussed the Berlin crisis with Chancellor Adenauer and Foreign Minister Schroeder.,"June 21–23, 1962",1962,1965
Italy,Rome,"Met with President Segni, Premier Fanfani, and senior Italian officials.","June 23–24, 1962",1962,1965
United Kingdom,"London, Oxford",Met with Prime Minister Macmillan and Foreign Secretary Home. Received an honorary degree from Oxford University.,"June 24–27, 1962",1962,1965
Portugal,Lisbon,Discussed extension of U.S. base rights in the Azores.,"June 27–28, 1962",1962,1965
Switzerland,Geneva,Attended the Conference on Laos.,"July 20–25, 1962",1962,1965
Canada,Ottawa,Met with Prime Minister Diefenbaker and Secretary for External Affairs Green.,"August 24–26, 1962",1962,1965
France,Paris,Attended NATO Ministerial Meeting.,"December 11–16, 1962",1962,1965
Ireland,Dublin,Stopped while returning to U.S.,"December 16, 1962",1962,1965
Costa Rica,San Jose,Accompanied President Kennedy to the Conference of the Presidents of Central American Republics.,"March 18–20, 1963",1963,1965
France,Paris,Attended SEATO Ministerial Council Meeting.,"April 7–11, 1963",1963,1965
Turkey,Ankara,"Met with President Gursel, Premier Inonu, and senior Turkish officials.","April 27–28, 1963",1963,1965
Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and Foreign Minister Aram.,"April 28–29, 1963",1963,1965
Pakistan,Karachi,Attended CENTO Ministerial Meeting.,"April 29–May 2, 1963",1963,1965
India,New Delhi,Met with Prime Minister Nehru.,"May 2–4, 1963",1963,1965
Yugoslavia,Belgrade,Met with President Tito; returned official visit by the Yugoslav Secretary of State for Foreign Affairs.,"May 4–5, 1963",1963,1965
Canada,Ottawa,Attended NATO Ministerial Meeting.,"May 20–24, 1963",1963,1965
"Germany, Federal Republic of","Bonn, Frankfurt",Accompanied President Kennedy.,"June 23–26, 1963",1963,1965
Germany,West Berlin,Accompanied President Kennedy.,"June 26, 1963",1963,1965
United Kingdom,London,Accompanied President Kennedy.,"June 27–30, 1963",1963,1965
Italy,"Rome, Naples",Accompanied President Kennedy.,"June 30–July 2, 1963",1963,1965
U.S.S.R.,"Moscow, Gagra",Signed the Nuclear Test Ban Treaty.,"August 3–10, 1963",1963,1965
"Germany, Federal Republic of",Bonn,Discussed the Test Ban Treaty with Chancellor Adenauer and Foreign Minister Schroeder.,"August 10–11, 1963",1963,1965
"Germany, Federal Republic of","Bonn, Frankfurt",Dedicated a memorial to General George C. Marshall in Frankfurt.,"October 25–27, 1963",1963,1965
France,Paris,Attended NATO Ministerial Meeting.,"December 13–18, 1963",1963,1965
United Kingdom,London,Met with Foreign Secretary Butler.,"December 18–19, 1963",1963,1965
Japan,Tokyo,Attended a meeting of Joint U.S.-Japan Committee on Trade and Economic Affairs.,"January 24–28, 1964",1964,1965
"Korea, Republic of",Seoul,Met with President Park.,"January 29, 1964",1964,1965
Philippines,Manila,Attended SEATO Ministerial Council Meeting.,"April 11–16, 1964",1964,1965
Republic of China,Taipei,Met with President Chiang.,"April 16–17, 1964",1964,1965
Vietnam,Saigon,Met with President Khanh and conferred with U.S. officials.,"April 17–19, 1964",1964,1965
Canada,Ottawa,Attended a meeting of the Joint U.S.-Canadian Committee on Trade and Economic Affairs.,"April 30, 1964",1964,1965
Belgium,Brussels,Met with Foreign Minister Spaak and officials of the European Economic Community.,"May 8–10, 1964",1964,1965
Netherlands,The Hague,Attended NATO Ministerial Meeting.,"May 10–14, 1964",1964,1965
India,New Delhi,Attended the funeral of Prime Minister Nehru.,"May 28–30, 1964",1964,1965
Thailand,Bangkok,Met with Prime MinisterKittikachorn and Foreign Minister Khoman.,"May 31, 1964",1964,1965
Vietnam,Saigon,Met with Premier Khanh and senior Vietnamese officials.,"May 31, 1964",1964,1965
Iceland,Reykjavik,Overnight stop en route to Paris.,"December 12–13, 1964",1964,1965
France,Paris,Attended NATO Ministerial Meeting.,"December 13–17, 1964",1964,1965
United Kingdom,London,Attended the funeral of former Prime Minister Churchill.,"January 28–30, 1965",1965,1965
Iran,Tehran,Attended CENTO Ministerial Meeting.,"April 6–9, 1965",1965,1965
Switzerland,Geneva,Conferred with U.S. Ambassadors to Middle Eastern countries.,"April 9, 1965",1965,1965
United Kingdom,"London, Runnymede",Attended NATO meeting and dedication of JFK Memorial.,"May 12–14, 1965",1965,1965
Austria,Vienna,Attended anniversary ceremonies for Austrian State Treaty.,"May 15, 1965",1965,1965
Venezuela,Caracas,Met with President Leoni.,"November 13–14, 1965",1965,1965
Argentina,Buenos Aires,Met with Foreign Minister Zavala Ortiz.,"November 15–16, 1965",1965,1965
Uruguay,Montevideo,Met with President Beltran.,"November 16, 1965",1965,1965
Brazil,Rio de Janeiro,Attended the Second Special Inter-American Conference.,"November 16–24, 1965",1965,1965
Paraguay,Asuncion,Met with President Stroessner while returning to U.S.,"November 24, 1965",1965,1965
France,Paris,Attended NATO Ministerial Meeting.,"December 13–16, 1965",1965,1965
Spain,Madrid,Met with Generalissimo Franco and senior Spanish officials.,"December 16, 1965",1965,1965
India,New Delhi,Attended funeral of Prime Minister Shastri.,"January 12–13, 1966",1966,1970
Thailand,Bangkok,Met with senior Thai officials.,"January 14, 1966",1966,1970
Vietnam,Saigon,Met with Premier Ky and Foreign Minister Do.,"January 15, 1966",1966,1970
Philippines,Manila,Met with President Marcos. Returned to Washington January 19.,"January 16, 1966",1966,1970
Mexico,"Mexico, D.F.",Accompanied President Johnson on an informal visit. Dedicated a statue of President Lincoln.,"April 15–16, 1966",1966,1970
Turkey,Ankara,Attended CENTO Ministerial Council Meeting.,"April 19–22, 1966",1966,1970
Finland,Helsinki,Met with Foreign Minister Karjalainin.,"May 31–June 1, 1966",1966,1970
Norway,"Bodo, Oslo",Met with Prime Minister Borten.,"June 1–3, 1966",1966,1970
Belgium,Brussels,Attended NATO Ministerial Meeting.,"June 3–8, 1966",1966,1970
"Germany, Federal Republic of",Bonn,Met with Chancellor Erhard and senior German officials.,"June 8–9, 1966",1966,1970
United Kingdom,London,Met with Prime Minister Wilson.,"June 9–10, 1966",1966,1970
Australia,Canberra,Attended SEATO and ANZUS Council Meetings.,"June 25–July 2, 1966",1966,1970
Philippines,Manila,Met with President Marcos.,"July 2, 1966",1966,1970
Republic of China,Taipei,Met with President Chiang and seniro Chinese Nationalist officials.,"July 3–4, 1966",1966,1970
Japan,"Kyoto, Tokyo",Attended a meeting of U.S.-Japan Committee on Trade and Economic Affairs.,"July 4–7, 1966",1966,1970
"Korea, Republic of",Seoul,Met with President Park and signed an agreement on the status of U.S. forces.,"July 8–9, 1966",1966,1970
Mexico,"Mexico, D.F.",Attended the inauguration of a new Foreign Office building.,"September 30–October 1, 1966",1966,1970
Japan,Yokota,Stopped en route to Manila.,"October 21, 1966",1966,1970
Philippines,Manila,Attended the Seven-Nation Conference on Vietnam.,"October 21–27, 1966",1966,1970
Vietnam,Cam Ranh Bay,Accompanied President Johnson on a visit to U.S. military personnel.,"October 26, 1966",1966,1970
Thailand,Bangkok,Accompanied President Johnson on a State visit.,"October 27–30, 1966",1966,1970
Malaysia,Kuala Lumpur,Accompanied President Johnson on a State visit.,"October 30–31, 1966",1966,1970
"Korea, Republic of",Seoul,Accompanied President Johnson on a State visit.,"October 31–November 2, 1966",1966,1970
Mexico,Ciudad Acuna,Accompanied President Johnson on a visit to the Amistad Dam.,"December 3, 1966",1966,1970
Japan,Tokyo,Met with senior Japanese officials.,"December 5–7, 1966",1966,1970
Republic of China,Taipei,Met with President Chiang and senior Chinese Nationalist officials.,"December 7–9, 1966",1966,1970
Vietnam,Saigon,Met with Foreign Minister Do and senior Vietnamese officials.,"December 9–11, 1966",1966,1970
Thailand,Bangkok,Met with Foreign Minister Khoman and senior Thai officials.,"December 11–12, 1966",1966,1970
India,New Delhi,Met with Foreign Minister Chagla.,"December 12, 1966",1966,1970
Iran,Tehran,Met with senior Iranian officials.,"December 12–13, 1966",1966,1970
France,Paris,Attended NATO Ministerial Meeting.,"December 13–16, 1966",1966,1970
Argentina,Buenos Aires,Attended the Third Special Inter-American Conference.,"February 14–21, 1967",1967,1970
Uruguay,Punta del Este,Attended the conference of OAS Heads of State and Foreign Ministers.,"April 7–14, 1967",1967,1970
"Germany, Federal Republic of","Bonn, Cologne",Accompanied President Johnson to the funeral of Chancellor Adenauer.,"April 23–26, 1967",1967,1970
Luxembourg,Luxembourg,Attended NATO Ministerial Meeting.,"June 12–14, 1967",1967,1970
Ireland,Shannon,Met with Irish Foreign Minister Aiken.,"June 14, 1967",1967,1970
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 10–15, 1967",1967,1970
New Zealand,Wellington,"Attended SEATO, ANZUS, and Seven-Nation Meetings.","March 30–April 5, 1968",1968,1970
Iceland,Reykjavik,Attended NATO Ministerial Meeting.,"June 22–26, 1968",1968,1970
"Germany, Federal Republic of",Bonn,Met with Chancellor Kiesinger.,"June 26, 1968",1968,1970
Belgium,Brussels,Attended NATO Ministerial Meeting.,"November 12–16, 1968",1968,1970
Spain,Madrid,Met with Generalissimo Franco and Foreign Minister Castiella.,"November 16–18, 1968",1968,1970
Belgium,Brussels,Accompanied President Nixon; attended the 23d meeting of the North Atlantic Council.,"February 23–24, 1969",1969,1970
United Kingdom,London,Accompanied President Nixon on an informal visit.,"February 24–26, 1969",1969,1970
"Germany, Federal Republic of",Bonn,Accompanied President Nixon.,"February 26–27, 1969",1969,1970
Germany,West Berlin,Accompanied President Nixon.,"February 27, 1969",1969,1970
Italy,Rome,Accompanied President Nixon.,"February 27–March 2, 1969",1969,1970
France,Paris,Accompanied President Nixon.,"February 28–March 2, 1969",1969,1970
Vatican City,,Accompanied President Nixon.,"March 2, 1969",1969,1970
Vietnam,Saigon,Met with President Thieu and U.S. and Vietnamese officials. Left U.S. May 12.,"May 14–19, 1969",1969,1970
Thailand,Bangkok,Attended the SEATO Council and Seven-Nation Meetings.,"May 19–23, 1969",1969,1970
India,New Delhi,Met with Prime Minister Gandhi and senior Indian officials.,"May 23–24, 1969",1969,1970
